Time,VII_Lg,IX_Lg,P15,P16,3x_h2,3x_o2,4x_h2,4x_o2,25x_h2,25x_o2,35x_h2,35x_o2,VIIx_h2,VIIx_o2,IXx_h2,IXx_o2,XIIIx_h2,XIIIx_o2,
          4.30000000,          0.29998875,          0.29998874,    2999887.46466760,    2999887.47682204,          0.00001163,          0.00000000,          0.00000017,          0.00000590,          1.00000000,          0.00000000,          0.00000004,          0.99999996,          0.00000000,          0.00000000,          0.00000000,          0.00000000,          0.00000000,          0.00000000,
          4.40000000,          0.29998848,          0.29998847,    2999884.84844290,    2999884.86060818,          0.00001190,          0.00000000,          0.00000018,          0.00000604,          1.00000000,          0.00000000,          0.00000004,          0.99999996,          0.00000000,          0.00000000,          0.00000000,          0.00000000,          0.00000000,          0.00000000,
          4.50000000,          0.29998822,          0.29998821,    2999882.23230799,    2999882.24448435,          0.00001217,          0.00000000,          0.00000018,          0.00000618,          1.00000000,          0.00000000,          0.00000004,          0.99999996,          0.00000000,          0.00000000,          0.00000000,          0.00000000,          0.00000000,          0.00000000,
          4.60000000,          0.29998796,          0.29998795,    2999879.61626337,    2999879.62845105,          0.00001244,          0.00000000,          0.00000019,          0.00000631,          1.00000000,          0.00000000,          0.00000004,          0.99999996,          0.00000000,          0.00000000,          0.00000000,          0.00000000,          0.00000000,          0.00000000,
          4.70000000,          0.29998770,          0.29998769,    2999877.00030955,    2999877.01250877,          0.00001271,          0.00000000,          0.00000019,          0.00000645,          1.00000000,          0.00000000,          0.00000004,          0.99999996,          0.00000000,          0.00000000,          0.00000000,          0.00000000,          0.00000000,          0.00000000,
          4.80000000,          0.29998744,          0.29998743,    2999874.38444702,    2999874.39665803,          0.00001298,          0.00000000,          0.00000020,          0.00000659,          1.00000000,          0.00000000,          0.00000005,          0.99999995,          0.00000000,          0.00000000,          0.00000000,          0.00000000,          0.00000000,          0.00000000,
          4.90000000,          0.29998718,          0.29998716,    2999871.76867629,    2999871.78089932,          0.00001325,          0.00000000,          0.00000020,          0.00000672,          1.00000000,          0.00000000,          0.00000005,          0.99999995,          0.00000000,          0.00000000,          0.00000000,          0.00000000,          0.00000000,          0.00000000,
          5.00000000,          0.29998691,          0.29998690,    2999869.15299784,    2999869.16523313,          0.00001352,          0.00000000,          0.00000021,          0.00000686,          1.00000000,          0.00000000,          0.00000005,          0.99999995,          0.00000000,          0.00000000,          0.00000000,          0.00000000,          0.00000000,          0.00000000,
          5.10000000,          0.29998665,          0.29998664,    2999866.53741219,    2999866.54965998,          0.00001379,          0.00000000,          0.00000021,          0.00000700,          1.00000000,          0.00000000,          0.00000005,          0.99999995,          0.00000000,          0.00000000,          0.00000000,          0.00000000,          0.00000000,          0.00000000,
          5.20000000,          0.29998639,          0.29998638,    2999863.92191983,    2999863.93418036,          0.00001406,          0.00000000,          0.00000021,          0.00000714,          1.00000000,          0.00000000,          0.00000006,          0.99999994,          0.00000000,          0.00000000,          0.00000000,          0.00000000,          0.00000000,          0.00000000,
          5.30000000,          0.29998613,          0.29998611,    2999861.30652125,    2999861.31879477,          0.00001433,          0.00000000,          0.00000022,          0.00000727,          1.00000000,          0.00000000,          0.00000006,          0.99999994,          0.00000000,          0.00000000,          0.00000000,          0.00000000,          0.00000000,          0.00000000,
          5.40000000,          0.29998587,          0.29998585,    2999858.69121697,    2999858.70350371,          0.00001460,          0.00000000,          0.00000022,          0.00000741,          1.00000000,          0.00000000,          0.00000006,          0.99999994,          0.00000000,          0.00000000,          0.00000000,          0.00000000,          0.00000000,          0.00000000,
          5.50000000,          0.29998561,          0.29998559,    2999856.07600747,    2999856.08830769,          0.00001487,          0.00000000,          0.00000023,          0.00000755,          1.00000000,          0.00000000,          0.00000006,          0.99999994,          0.00000000,          0.00000000,          0.00000000,          0.00000000,          0.00000000,          0.00000000,
          5.60000000,          0.29998535,          0.29998533,    2999853.46089326,    2999853.47320720,          0.00001513,          0.00000000,          0.00000023,          0.00000769,          1.00000000,          0.00000000,          0.00000007,          0.99999993,          0.00000000,          0.00000000,          0.00000000,          0.00000000,          0.00000000,          0.00000000,
          5.70000000,          0.29998508,          0.29998506,    2999850.84587484,    2999850.85820274,          0.00001540,          0.00000000,          0.00000024,          0.00000782,          1.00000000,          0.00000000,          0.00000007,          0.99999993,          0.00000000,          0.00000000,          0.00000000,          0.00000000,          0.00000000,          0.00000000,
          5.80000000,          0.29998482,          0.29998480,    2999848.23095271,    2999848.24329482,          0.00001567,          0.00000000,          0.00000024,          0.00000796,          1.00000000,          0.00000000,          0.00000007,          0.99999993,          0.00000000,          0.00000000,          0.00000000,          0.00000000,          0.00000000,          0.00000000,
          5.90000000,          0.29998456,          0.29998454,    2999845.61612736,    2999845.62848393,          0.00001594,          0.00000000,          0.00000025,          0.00000810,          1.00000000,          0.00000000,          0.00000007,          0.99999993,          0.00000000,          0.00000000,          0.00000000,          0.00000000,          0.00000000,          0.00000000,
          6.00000000,          0.29998430,          0.29998428,    2999843.00139930,    2999843.01377057,          0.00001621,          0.00000000,          0.00000025,          0.00000823,          1.00000000,          0.00000000,          0.00000008,          0.99999992,          0.00000000,          0.00000000,          0.00000000,          0.00000000,          0.00000000,          0.00000000,
          6.10000000,          0.29998404,          0.29998402,    2999840.38676901,    2999840.39915526,          0.00001648,          0.00000000,          0.00000026,          0.00000837,          1.00000000,          0.00000000,          0.00000008,          0.99999992,          0.00000000,          0.00000000,          0.00000000,          0.00000000,          0.00000000,          0.00000000,
          6.20000000,          0.29998378,          0.29998375,    2999837.77223701,    2999837.78463847,          0.00001675,          0.00000000,          0.00000026,          0.00000851,          1.00000000,          0.00000000,          0.00000008,          0.99999992,          0.00000000,          0.00000000,          0.00000000,          0.00000000,          0.00000000,          0.00000000,
          6.30000000,          0.29998352,          0.29998349,    2999835.15780379,    2999835.17022072,          0.00001702,          0.00000000,          0.00000027,          0.00000865,          1.00000000,          0.00000000,          0.00000009,          0.99999991,          0.00000000,          0.00000000,          0.00000000,          0.00000000,          0.00000000,          0.00000000,
          6.40000000,          0.29998325,          0.29998323,    2999832.54346984,    2999832.55590250,          0.00001729,          0.00000000,          0.00000027,          0.00000878,          1.00000000,          0.00000000,          0.00000009,          0.99999991,          0.00000000,          0.00000000,          0.00000000,          0.00000000,          0.00000000,          0.00000000,
          6.50000000,          0.29998299,          0.29998297,    2999829.92923568,    2999829.94168431,          0.00001756,          0.00000000,          0.00000028,          0.00000892,          1.00000000,          0.00000000,          0.00000009,          0.99999991,          0.00000000,          0.00000000,          0.00000000,          0.00000000,          0.00000000,          0.00000000,
          6.60000000,          0.29998273,          0.29998270,    2999827.31510179,    2999827.32756666,          0.00001783,          0.00000000,          0.00000028,          0.00000906,          1.00000000,          0.00000000,          0.00000010,          0.99999990,          0.00000000,          0.00000000,          0.00000000,          0.00000000,          0.00000000,          0.00000000,
