       Time,    ec 1-1n, ec 1-1n-h2, ec 1-1n-o2,    ec 1-2n, ec 1-2n-h2, ec 1-2n-o2,      cs 1n,   cs 1n-h2,   cs 1n-o2,   cs 1-l_g,     cs 2-p,      cs 2n,   cs 2n-h2,   cs 2n-o2,      as 1n,   as 1n-h2,   as 1n-o2,   as 1-l_g,     as 2-p,      as 2n,   as 2n-h2,   as 2n-o2,      bp 1n,   bp 1n-h2,   bp 1n-o2,
        225.00000000,         15.68863853,          0.00781790,          0.00000000,         17.60492611,          0.00000000,          0.00390895,        362.59257361,          0.00000000,          0.00000000,          0.29999048,     101000.00000000,          0.25394000,          0.25343212,          0.00025394,        360.92667834,          0.00000000,          0.00000000,          0.30000926,     101000.00000000,          0.25394000,          0.00025394,          0.25343212,          0.08200000,          0.00000000,          0.00000000,
        230.00000000,         15.66717831,          0.00799163,          0.00000000,         17.59256477,          0.00000000,          0.00399581,        362.61007030,          0.00000000,          0.00000000,          0.29999027,     101000.00000000,          0.25394000,          0.25343212,          0.00025394,        360.94295442,          0.00000000,          0.00000000,          0.30000947,     101000.00000000,          0.25394000,          0.00025394,          0.25343212,          0.08200000,          0.00000000,          0.00000000,
        235.00000000,         15.64680941,          0.00816536,          0.00000000,         17.58078881,          0.00000000,          0.00408268,        362.62645703,          0.00000000,          0.00000000,          0.29999007,     101000.00000000,          0.25394000,          0.25343212,          0.00025394,        360.95864829,          0.00000000,          0.00000000,          0.30000968,     101000.00000000,          0.25394000,          0.00025394,          0.25343212,          0.08200000,          0.00000000,          0.00000000,
        240.00000000,         15.62747610,          0.00833909,          0.00000000,         17.56956994,          0.00000000,          0.00416955,        362.64179069,          0.00000000,          0.00000000,          0.29998986,     101000.00000000,          0.25394000,          0.25343212,          0.00025394,        360.97378713,          0.00000000,          0.00000000,          0.30000989,     101000.00000000,          0.25394000,          0.00025394,          0.25343212,          0.08200000,          0.00000000,          0.00000000,
        245.00000000,         15.60912553,          0.00851282,          0.00000000,         17.55888124,          0.00000000,          0.00425641,        362.65612526,          0.00000000,          0.00000000,          0.29998965,     101000.00000000,          0.25394000,          0.25343212,          0.00025394,        360.98839678,          0.00000000,          0.00000000,          0.30001010,     101000.00000000,          0.25394000,          0.00025394,          0.25343212,          0.08200000,          0.00000000,          0.00000000,
        250.00000000,         15.59170751,          0.00868655,          0.00000000,         17.54869712,          0.00000000,          0.00434328,        362.66951197,          0.00000000,          0.00000000,          0.29998944,     101000.00000000,          0.25394000,          0.25343212,          0.00025394,        361.00250189,          0.00000000,          0.00000000,          0.30001031,     101000.00000000,          0.25394000,          0.00025394,          0.25343212,          0.08200000,          0.00000000,          0.00000000,
        255.00000000,         15.57517443,          0.00886028,          0.00000000,         17.53899319,          0.00000000,          0.00443014,        362.68199942,          0.00000000,          0.00000000,          0.29998923,     101000.00000000,          0.25394000,          0.25343212,          0.00025394,        361.01612587,          0.00000000,          0.00000000,          0.30001052,     101000.00000000,          0.25394000,          0.00025394,          0.25343212,          0.08200000,          0.00000000,          0.00000000,
        260.00000000,         15.55948112,          0.00903402,          0.00000000,         17.52974629,          0.00000000,          0.00451701,        362.69363376,          0.00000000,          0.00000000,          0.29998902,     101000.00000000,          0.25394000,          0.25343212,          0.00025394,        361.02929102,          0.00000000,          0.00000000,          0.30001072,     101000.00000000,          0.25394000,          0.00025394,          0.25343212,          0.08200000,          0.00000000,          0.00000000,
        265.00000000,         15.54458471,          0.00920775,          0.00000000,         17.52093435,          0.00000000,          0.00460387,        362.70445875,          0.00000000,          0.00000000,          0.29998881,     101000.00000000,          0.25394000,          0.25343212,          0.00025394,        361.04201857,          0.00000000,          0.00000000,          0.30001093,     101000.00000000,          0.25394000,          0.00025394,          0.25343212,          0.08200000,          0.00000000,          0.00000000,
        270.00000000,         15.53044451,          0.00938148,          0.00000000,         17.51253639,          0.00000000,          0.00469074,        362.71451593,          0.00000000,          0.00000000,          0.29998860,     101000.00000000,          0.25394000,          0.25343212,          0.00025394,        361.05432873,          0.00000000,          0.00000000,          0.30001114,     101000.00000000,          0.25394000,          0.00025394,          0.25343212,          0.08200000,          0.00000000,          0.00000000,
        275.00000000,         15.51702191,          0.00955521,          0.00000000,         17.50453243,          0.00000000,          0.00477760,        362.72384472,          0.00000000,          0.00000000,          0.29998840,     101000.00000000,          0.25394000,          0.25343212,          0.00025394,        361.06624073,          0.00000000,          0.00000000,          0.30001135,     101000.00000000,          0.25394000,          0.00025394,          0.25343212,          0.08200000,          0.00000000,          0.00000000,
        280.00000000,         15.50428028,          0.00972894,          0.00000000,         17.49690348,          0.00000000,          0.00486447,        362.73248252,          0.00000000,          0.00000000,          0.29998819,     101000.00000000,          0.25394000,          0.25343212,          0.00025394,        361.07777287,          0.00000000,          0.00000000,          0.30001156,     101000.00000000,          0.25394000,          0.00025394,          0.25343212,          0.08200000,          0.00000000,          0.00000000,
        285.00000000,         15.49218486,          0.00990267,          0.00000000,         17.48963146,          0.00000000,          0.00495134,        362.74046483,          0.00000000,          0.00000000,          0.29998798,     101000.00000000,          0.25394000,          0.25343212,          0.00025394,        361.08894257,          0.00000000,          0.00000000,          0.30001177,     101000.00000000,          0.25394000,          0.00025394,          0.25343212,          0.08200000,          0.00000000,          0.00000000,
        290.00000000,         15.48070266,          0.01007640,          0.00000000,         17.48269916,          0.00000000,          0.00503820,        362.74782533,          0.00000000,          0.00000000,          0.29998777,     101000.00000000,          0.25394000,          0.25343212,          0.00025394,        361.09976643,          0.00000000,          0.00000000,          0.30001198,     101000.00000000,          0.25394000,          0.00025394,          0.25343212,          0.08200000,          0.00000000,          0.00000000,
        295.00000000,         15.46980236,          0.01025013,          0.00000000,         17.47609021,          0.00000000,          0.00512507,        362.75459599,          0.00000000,          0.00000000,          0.29998756,     101000.00000000,          0.25394000,          0.25343212,          0.00025394,        361.11026024,          0.00000000,          0.00000000,          0.30001219,     101000.00000000,          0.25394000,          0.00025394,          0.25343212,          0.08200000,          0.00000000,          0.00000000,
        300.00000000,         15.45945428,          0.01042386,          0.00000000,         17.46978903,          0.00000000,          0.00521193,        362.76080712,          0.00000000,          0.00000000,          0.29998735,     101000.00000000,          0.25394000,          0.25343212,          0.00025394,        361.12043902,          0.00000000,          0.00000000,          0.30001239,     101000.00000000,          0.25394000,          0.00025394,          0.25343212,          0.08200000,          0.00000000,          0.00000000,
        305.00000000,         15.44963020,          0.01059760,          0.00000000,         17.46378080,          0.00000000,          0.00529880,        362.76648752,          0.00000000,          0.00000000,          0.29998714,     101000.00000000,          0.25394000,          0.25343212,          0.00025394,        361.13031708,          0.00000000,          0.00000000,          0.30001260,     101000.00000000,          0.25394000,          0.00025394,          0.25343212,          0.08200000,          0.00000000,          0.00000000,
        310.00000000,         15.44030339,          0.01077133,          0.00000000,         17.45805142,          0.00000000,          0.00538566,        362.77166450,          0.00000000,          0.00000000,          0.29998694,     101000.00000000,          0.25394000,          0.25343212,          0.00025394,        361.13990805,          0.00000000,          0.00000000,          0.30001281,     101000.00000000,          0.25394000,          0.00025394,          0.25343212,          0.08200000,          0.00000000,          0.00000000,
